district,year,value
31,2011,0.072570339
31,2012,0.070182487
31,2013,0.068893783
31,2014,0.07054887
31,2015,0.07054887
32,2000,0
32,2001,0
32,2002,0
32,2003,0
32,2004,0
32,2005,0
32,2006,0.015859624
32,2007,0.064074174
32,2008,0.058617476
32,2009,0.048817936
32,2010,0.080604032
32,2011,0.072570339
32,2012,0.070182487
32,2013,0.068893783
32,2014,0.07054887
32,2015,0.07054887
33,2000,0
33,2001,0
33,2002,0
33,2003,0
33,2004,0
33,2005,0
33,2006,0.015859624
33,2007,0.064074174
33,2008,0.058617476
33,2009,0.048817936
33,2010,0.080604032
33,2011,0.072570339
33,2012,0.070182487
33,2013,0.068893783
33,2014,0.07054887
33,2015,0.07054887
34,2000,0
34,2001,0
34,2002,0
34,2003,0
34,2004,0
34,2005,0
34,2006,0.015859624
34,2007,0.064074174
34,2008,0.058617476
34,2009,0.048817936
34,2010,0.080604032
34,2011,0.072570339
34,2012,0.070182487
34,2013,0.068893783
34,2014,0.07054887
34,2015,0.07054887
35,2000,0
35,2001,0
35,2002,0
35,2003,0
35,2004,0
35,2005,0
35,2006,0.015859624
35,2007,0.064074174
35,2008,0.058617476
35,2009,0.048817936
35,2010,0.080604032
35,2011,0.072570339
35,2012,0.070182487
35,2013,0.068893783
35,2014,0.07054887
35,2015,0.07054887
36,2000,0
36,2001,0
36,2002,0
36,2003,0
36,2004,0
36,2005,0
36,2006,0.015859624
36,2007,0.064074174
36,2008,0.058617476
36,2009,0.048817936
36,2010,0.080604032
36,2011,0.072570339
36,2012,0.070182487
36,2013,0.068893783
36,2014,0.07054887
36,2015,0.07054887
37,2000,0
37,2001,0
37,2002,0
37,2003,0
37,2004,0
37,2005,0
37,2006,0.015859624
37,2007,0.064074174
37,2008,0.058617476
37,2009,0.048817936
37,2010,0.080604032
37,2011,0.072570339
37,2012,0.070182487
37,2013,0.068893783
37,2014,0.07054887
37,2015,0.07054887
38,2000,0
38,2001,0
38,2002,0
38,2003,0
38,2004,0
38,2005,0
38,2006,0.015859624
38,2007,0.064074174
38,2008,0.058617476
38,2009,0.048817936
38,2010,0.080604032
38,2011,0.072570339
38,2012,0.070182487
38,2013,0.068893783
38,2014,0.07054887
38,2015,0.07054887
39,2000,0
39,2001,0
39,2002,0
39,2003,0
39,2004,0
39,2005,0
39,2006,0.015859624
39,2007,0.064074174
39,2008,0.058617476
39,2009,0.048817936
39,2010,0.080604032
39,2011,0.072570339
39,2012,0.070182487
39,2013,0.068893783
39,2014,0.07054887
39,2015,0.07054887
40,2000,0
40,2001,0
40,2002,0
40,2003,0
40,2004,0
40,2005,0
40,2006,0.015859624
40,2007,0.064074174
40,2008,0.058617476
40,2009,0.048817936
40,2010,0.080604032
40,2011,0.072570339
40,2012,0.070182487
40,2013,0.068893783
40,2014,0.07054887
40,2015,0.07054887
41,2000,0
41,2001,0
41,2002,0
41,2003,0
41,2004,0
41,2005,0
41,2006,0.015859624
41,2007,0.064074174
41,2008,0.058617476
41,2009,0.048817936
41,2010,0.080604032
41,2011,0.072570339
41,2012,0.070182487
41,2013,0.068893783
41,2014,0.07054887
41,2015,0.07054887
42,2000,0
42,2001,0
42,2002,0
42,2003,0
42,2004,0
42,2005,0
42,2006,0.015859624
42,2007,0.064074174
42,2008,0.058617476
42,2009,0.048817936
42,2010,0.080604032
42,2011,0.072570339
42,2012,0.070182487
42,2013,0.068893783
42,2014,0.07054887
42,2015,0.07054887
43,2000,0
43,2001,0
43,2002,0
43,2003,0
43,2004,0
43,2005,0
43,2006,0.015859624
43,2007,0.064074174
43,2008,0.058617476
43,2009,0.048817936
43,2010,0.080604032
43,2011,0.072570339
43,2012,0.070182487
43,2013,0.068893783
43,2014,0.07054887
43,2015,0.07054887
44,2000,0
44,2001,0
44,2002,0
44,2003,0
44,2004,0
44,2005,0
44,2006,0.015859624
44,2007,0.064074174
44,2008,0.058617476
44,2009,0.048817936
44,2010,0.080604032
44,2011,0.072570339
44,2012,0.070182487
44,2013,0.068893783
44,2014,0.07054887
44,2015,0.07054887
45,2000,0
45,2001,0
45,2002,0
45,2003,0
45,2004,0
45,2005,0
45,2006,0.015859624
45,2007,0.064074174
45,2008,0.058617476
45,2009,0.048817936
45,2010,0.080604032
45,2011,0.072570339
45,2012,0.070182487
45,2013,0.068893783
45,2014,0.07054887
45,2015,0.07054887
46,2000,0
46,2001,0
46,2002,0
46,2003,0
46,2004,0
46,2005,0
46,2006,0.015859624
46,2007,0.064074174
46,2008,0.058617476
46,2009,0.048817936
46,2010,0.080604032
46,2011,0.072570339
46,2012,0.070182487
46,2013,0.068893783
46,2014,0.07054887
46,2015,0.07054887
47,2000,0
47,2001,0
47,2002,0
47,2003,0
47,2004,0
47,2005,0
47,2006,0.015859624
47,2007,0.064074174
47,2008,0.058617476
47,2009,0.048817936
47,2010,0.080604032
47,2011,0.072570339
47,2012,0.070182487
47,2013,0.068893783
47,2014,0.07054887
47,2015,0.07054887
48,2000,0
48,2001,0
48,2002,0
48,2003,0
48,2004,0
48,2005,0
48,2006,0.015859624
48,2007,0.064074174
48,2008,0.058617476
48,2009,0.048817936
48,2010,0.080604032
48,2011,0.072570339
48,2012,0.070182487
48,2013,0.068893783
48,2014,0.07054887
48,2015,0.07054887
49,2000,0
49,2001,0
49,2002,0
49,2003,0
49,2004,0
49,2005,0
49,2006,0.015859624
49,2007,0.064074174
49,2008,0.058617476
49,2009,0.048817936
49,2010,0.080604032
49,2011,0.072570339
49,2012,0.070182487
49,2013,0.068893783
49,2014,0.07054887
49,2015,0.07054887
50,2000,0
50,2001,0
50,2002,0
50,2003,0
50,2004,0
50,2005,0
50,2006,0.015859624
50,2007,0.064074174
50,2008,0.058617476
50,2009,0.048817936
50,2010,0.080604032
50,2011,0.072570339
50,2012,0.070182487
50,2013,0.068893783
50,2014,0.07054887
50,2015,0.07054887
51,2000,0
51,2001,0
51,2002,0
51,2003,0
51,2004,0
51,2005,0
51,2006,0.015859624
51,2007,0.064074174
51,2008,0.058617476
51,2009,0.048817936
51,2010,0.080604032
51,2011,0.072570339
51,2012,0.070182487
51,2013,0.068893783
51,2014,0.07054887
51,2015,0.07054887
52,2000,0
52,2001,0
52,2002,0
52,2003,0
52,2004,0
52,2005,0
52,2006,0.015859624
52,2007,0.064074174
52,2008,0.058617476
52,2009,0.048817936
52,2010,0.080604032
52,2011,0.072570339
52,2012,0.070182487
52,2013,0.068893783
52,2014,0.07054887
52,2015,0.07054887
53,2000,0
53,2001,0
53,2002,0
53,2003,0
53,2004,0
53,2005,0
53,2006,0.015859624
53,2007,0.064074174
53,2008,0.058617476
53,2009,0.048817936
53,2010,0.080604032
53,2011,0.072570339
53,2012,0.070182487
53,2013,0.068893783
53,2014,0.07054887
53,2015,0.07054887
54,2000,0
54,2001,0
54,2002,0
54,2003,0
54,2004,0
54,2005,0
54,2006,0.015859624
54,2007,0.064074174
54,2008,0.058617476
54,2009,0.048817936
54,2010,0.080604032
54,2011,0.072570339
54,2012,0.070182487
54,2013,0.068893783
54,2014,0.07054887
54,2015,0.07054887
55,2000,0
55,2001,0
55,2002,0
55,2003,0
55,2004,0
55,2005,0
55,2006,0.015859624
55,2007,0.064074174
55,2008,0.058617476
55,2009,0.048817936
55,2010,0.080604032
55,2011,0.072570339
55,2012,0.070182487
55,2013,0.068893783
55,2014,0.07054887
55,2015,0.07054887
56,2000,0
56,2001,0
56,2002,0
56,2003,0
56,2004,0
56,2005,0
56,2006,0.015859624
56,2007,0.064074174
56,2008,0.058617476
56,2009,0.048817936
56,2010,0.080604032
56,2011,0.072570339
56,2012,0.070182487
56,2013,0.068893783
56,2014,0.07054887
56,2015,0.07054887
57,2000,0
57,2001,0
57,2002,0
57,2003,0
57,2004,0
57,2005,0
57,2006,0.015859624
57,2007,0.064074174
57,2008,0.058617476
57,2009,0.048817936
57,2010,0.080604032
57,2011,0.072570339
57,2012,0.070182487
57,2013,0.068893783
57,2014,0.07054887
57,2015,0.07054887
58,2000,0
58,2001,0
58,2002,0
58,2003,0
58,2004,0
58,2005,0
58,2006,0.015859624
58,2007,0.064074174
58,2008,0.058617476
58,2009,0.048817936
58,2010,0.080604032
58,2011,0.072570339
58,2012,0.070182487
58,2013,0.068893783
58,2014,0.07054887
58,2015,0.07054887
59,2000,0
59,2001,0
59,2002,0
59,2003,0
59,2004,0
59,2005,0
59,2006,0.015859624
59,2007,0.064074174
59,2008,0.058617476
59,2009,0.048817936
59,2010,0.080604032
59,2011,0.072570339
59,2012,0.070182487
59,2013,0.068893783
59,2014,0.07054887
59,2015,0.07054887
60,2000,0
60,2001,0
60,2002,0
60,2003,0
60,2004,0
60,2005,0
60,2006,0.015859624
60,2007,0.064074174
60,2008,0.058617476
60,2009,0.048817936
60,2010,0.080604032
60,2011,0.072570339
60,2012,0.070182487
60,2013,0.068893783
60,2014,0.07054887
60,2015,0.07054887
61,2000,0
61,2001,0
61,2002,0
61,2003,0
61,2004,0
61,2005,0
61,2006,0.015859624
61,2007,0.064074174
61,2008,0.058617476
61,2009,0.048817936
61,2010,0.080604032
61,2011,0.072570339
61,2012,0.070182487
61,2013,0.068893783
61,2014,0.07054887
61,2015,0.07054887
62,2000,0
62,2001,0
62,2002,0
62,2003,0
62,2004,0
62,2005,0
62,2006,0.015859624
62,2007,0.064074174
62,2008,0.058617476
62,2009,0.048817936
62,2010,0.080604032
62,2011,0.072570339
62,2012,0.070182487
62,2013,0.068893783
62,2014,0.07054887
62,2015,0.07054887
63,2000,0
63,2001,0
63,2002,0
63,2003,0
63,2004,0
63,2005,0
63,2006,0.015859624
63,2007,0.064074174
63,2008,0.058617476
63,2009,0.048817936
63,2010,0.080604032
63,2011,0.072570339
63,2012,0.070182487
63,2013,0.068893783
63,2014,0.07054887
63,2015,0.07054887
64,2000,0
64,2001,0
64,2002,0
64,2003,0
64,2004,0
64,2005,0
64,2006,0.015859624
64,2007,0.064074174
64,2008,0.058617476
64,2009,0.048817936
64,2010,0.080604032
64,2011,0.072570339
64,2012,0.070182487
64,2013,0.068893783
64,2014,0.07054887
64,2015,0.07054887
65,2000,0
65,2001,0
65,2002,0
65,2003,0
65,2004,0
65,2005,0
65,2006,0.015859624
65,2007,0.064074174
65,2008,0.058617476
65,2009,0.048817936
65,2010,0.080604032
65,2011,0.072570339
65,2012,0.070182487
65,2013,0.068893783
65,2014,0.07054887
65,2015,0.07054887
66,2000,0
66,2001,0
66,2002,0
66,2003,0
66,2004,0
66,2005,0
66,2006,0.015859624
