district,year,value
27,2007,0.188327334
27,2008,0.242297845
27,2009,0.278474952
27,2010,0.376434539
27,2011,0.37231185
27,2012,0.321938691
27,2013,0.485427714
27,2014,0.662634021
27,2015,0.655608317
28,2000,0
28,2001,0
28,2002,0
28,2003,0
28,2004,0
28,2005,0
28,2006,0.054020066
28,2007,0.142102901
28,2008,0.191443338
28,2009,0.222544722
28,2010,0.308230678
28,2011,0.308046206
28,2012,0.284045969
28,2013,0.47283584
28,2014,0.668400624
28,2015,0.65999187
29,2000,0
29,2001,0
29,2002,0
29,2003,0
29,2004,0
29,2005,0
29,2006,0.132763524
29,2007,0.237110182
29,2008,0.279841055
29,2009,0.299686906
29,2010,0.389091063
29,2011,0.402541163
29,2012,0.391025794
29,2013,0.60394871
29,2014,0.818829374
29,2015,0.809735505
30,2000,0
30,2001,0
30,2002,0.000983923
30,2003,0
30,2004,0
30,2005,0.001821337
30,2006,0.020440246
30,2007,0.094277132
30,2008,0.146859876
30,2009,0.168255931
30,2010,0.27943437
30,2011,0.284301159
30,2012,0.22411189
30,2013,0.402453241
30,2014,0.593907826
30,2015,0.585976757
31,2000,0
31,2001,0
31,2002,0
31,2003,0
31,2004,0
31,2005,0
31,2006,0.064885057
31,2007,0.165720645
31,2008,0.22410606
31,2009,0.256242735
31,2010,0.379569599
31,2011,0.373518595
31,2012,0.301517942
31,2013,0.492555109
31,2014,0.698049606
31,2015,0.689288654
32,2000,0
32,2001,0
32,2002,0
32,2003,0
32,2004,0
32,2005,0
32,2006,0.015328277
32,2007,0.096573856
32,2008,0.156812462
32,2009,0.185327516
32,2010,0.290428793
32,2011,0.280447644
32,2012,0.222154358
32,2013,0.40511595
32,2014,0.599695239
32,2015,0.59132144
33,2000,0
33,2001,0
33,2002,0
33,2003,0
33,2004,0
33,2005,0
33,2006,0.050755811
33,2007,0.150825547
33,2008,0.208655857
33,2009,0.236746996
33,2010,0.356113811
33,2011,0.353133443
33,2012,0.286096507
33,2013,0.477514042
33,2014,0.682132006
33,2015,0.673402144
34,2000,0
34,2001,0
34,2002,0
34,2003,0
34,2004,0
34,2005,0
34,2006,0.097225743
34,2007,0.217021188
34,2008,0.277102814
34,2009,0.285079857
34,2010,0.359884373
34,2011,0.367778417
34,2012,0.353620571
34,2013,0.56886828
34,2014,0.786233036
34,2015,0.777051058
35,2000,0
35,2001,0
35,2002,0
35,2003,0
35,2004,0
35,2005,0
35,2006,0.1333798
35,2007,0.231034502
35,2008,0.284241552
35,2009,0.321010301
35,2010,0.432579241
35,2011,0.422012166
35,2012,0.363205671
35,2013,0.551549715
35,2014,0.751797273
35,2015,0.743222426
36,2000,0
36,2001,0
36,2002,0
36,2003,0
36,2004,0
36,2005,0
36,2006,0.105065773
36,2007,0.216602242
36,2008,0.268215054
36,2009,0.27910619
36,2010,0.351124422
36,2011,0.353144738
36,2012,0.337793719
36,2013,0.535786233
36,2014,0.739914147
36,2015,0.731201667
37,2000,0
37,2001,0
37,2002,0
37,2003,0
37,2004,0
37,2005,0
37,2006,0.050355252
37,2007,0.154860003
37,2008,0.209513894
37,2009,0.225848762
37,2010,0.316673175
37,2011,0.331101603
37,2012,0.309153868
37,2013,0.522754452
37,2014,0.7425014
37,2015,0.733234929
38,2000,0
38,2001,0
38,2002,0
38,2003,0
38,2004,0
38,2005,0
38,2006,0.139648218
38,2007,0.272569158
38,2008,0.342513501
38,2009,0.336253304
38,2010,0.376478269
38,2011,0.376871681
38,2012,0.381068119
38,2013,0.58826793
38,2014,0.791272592
38,2015,0.782599953
39,2000,0
39,2001,0
39,2002,0
39,2003,0
39,2004,0
39,2005,0
39,2006,0.154311354
39,2007,0.256147572
39,2008,0.309519043
39,2009,0.344286172
39,2010,0.465010967
39,2011,0.464538504
39,2012,0.407877648
39,2013,0.607616092
39,2014,0.818772987
39,2015,0.809811196
40,2000,0
40,2001,0
40,2002,0
40,2003,0
40,2004,0
40,2005,0
40,2006,0.141561308
40,2007,0.239135787
40,2008,0.275531349
40,2009,0.296228871
40,2010,0.396292423
40,2011,0.405804788
40,2012,0.376762596
40,2013,0.576226489
40,2014,0.780801127
40,2015,0.772072802
41,2000,0
41,2001,0
41,2002,0
41,2003,0
41,2004,0
41,2005,0
41,2006,0.157340633
41,2007,0.263911517
41,2008,0.314814403
41,2009,0.337751898
41,2010,0.442416856
41,2011,0.444185092
41,2012,0.400948218
41,2013,0.600994249
41,2014,0.808818669
41,2015,0.799975078
42,2000,0
42,2001,0
42,2002,0
42,2003,0
42,2004,0
42,2005,0
42,2006,0.091736759
42,2007,0.206472347
42,2008,0.259191738
42,2009,0.265196976
42,2010,0.336573665
42,2011,0.340478874
42,2012,0.323461498
42,2013,0.521113151
42,2014,0.725102535
42,2015,0.716394968
43,2000,0
43,2001,0
43,2002,0
43,2003,0
43,2004,0
43,2005,0
43,2006,0.060316693
43,2007,0.154750549
43,2008,0.212510238
43,2009,0.247608909
43,2010,0.355905217
43,2011,0.344791567
43,2012,0.282288772
43,2013,0.458723129
43,2014,0.647443605
43,2015,0.639277611
44,2000,0
44,2001,0
44,2002,0
44,2003,0
44,2004,0
44,2005,0
44,2006,0.167031659
44,2007,0.262446367
44,2008,0.31108145
44,2009,0.3486428
44,2010,0.463431134
44,2011,0.455747376
44,2012,0.398694789
44,2013,0.589074341
44,2014,0.791146119
44,2015,0.782506568
45,2000,0
45,2001,0
45,2002,0
45,2003,0
45,2004,0
45,2005,0
45,2006,0.077159312
45,2007,0.197288097
45,2008,0.260847264
45,2009,0.264222001
45,2010,0.328284026
45,2011,0.336690043
45,2012,0.329276684
45,2013,0.543706394
45,2014,0.758597043
45,2015,0.74950282
46,2000,0
46,2001,0
46,2002,0
46,2003,0
46,2004,0
46,2005,0
46,2006,0.136010929
46,2007,0.234489344
46,2008,0.292301429
46,2009,0.331594696
46,2010,0.445319532
46,2011,0.432439137
46,2012,0.368558306
46,2013,0.556664521
46,2014,0.757653469
46,2015,0.749052325
47,2000,0
47,2001,0
47,2002,0
47,2003,0
47,2004,0
47,2005,0
47,2006,0.176337227
47,2007,0.270800758
47,2008,0.312685256
47,2009,0.347361467
47,2010,0.461101861
47,2011,0.462133068
47,2012,0.417667462
47,2013,0.615460342
47,2014,0.822215029
47,2015,0.81340938
48,2000,0
48,2001,0
48,2002,0
48,2003,0
48,2004,0
48,2005,0
48,2006,0.161951756
48,2007,0.267306279
48,2008,0.325443762
48,2009,0.358365025
48,2010,0.475637557
48,2011,0.474673797
48,2012,0.418810091
48,2013,0.617807687
48,2014,0.82763034
48,2015,0.818715873
49,2000,0
49,2001,0
49,2002,0
49,2003,0
49,2004,0
49,2005,0
49,2006,0.031417553
49,2007,0.123986514
49,2008,0.181857209
49,2009,0.212267783
49,2010,0.316687926
49,2011,0.306732452
49,2012,0.24943439
49,2013,0.43033076
49,2014,0.62251816
49,2015,0.614229198
50,2000,0
50,2001,0
50,2002,0
50,2003,0
50,2004,0
50,2005,0
50,2006,0.160870672
50,2007,0.259043909
50,2008,0.306488
50,2009,0.340651285
50,2010,0.458828454
50,2011,0.459129597
50,2012,0.406696243
50,2013,0.604339858
50,2014,0.812586694
50,2015,0.80372812
51,2000,0
51,2001,0
51,2002,0
51,2003,0
51,2004,0
51,2005,0
51,2006,0.144576832
51,2007,0.248421608
51,2008,0.288884012
51,2009,0.308908795
51,2010,0.404649045
51,2011,0.416047689
51,2012,0.395940302
51,2013,0.606543569
51,2014,0.820732298
51,2015,0.811662971
52,2000,0
52,2001,0
52,2002,0
52,2003,0
52,2004,0
52,2005,0
52,2006,0.15390193
52,2007,0.25096186
52,2008,0.305499871
52,2009,0.344373069
52,2010,0.457055768
52,2011,0.444716535
52,2012,0.383310683
52,2013,0.571369944
52,2014,0.771839845
52,2015,0.763257111
53,2000,0
53,2001,0
53,2002,0
53,2003,0
53,2004,0
53,2005,0
53,2006,0.145329007
53,2007,0.278056222
53,2008,0.346287315
53,2009,0.345854349
53,2010,0.401365866
53,2011,0.403654511
53,2012,0.399595122
53,2013,0.614569738
53,2014,0.828076265
53,2015,0.819031135
54,2000,0
54,2001,0
54,2002,0
54,2003,0
54,2004,0
54,2005,0
54,2006,0.058091649
54,2007,0.155895493
54,2008,0.217224382
54,2009,0.253576579
54,2010,0.366469773
54,2011,0.354972653
54,2012,0.288719461
54,2013,0.470462503
54,2014,0.665415695
54,2015,0.657028634
55,2000,0
55,2001,0
55,2002,0
55,2003,0
55,2004,0
55,2005,0
55,2006,0.060631903
55,2007,0.164394324
55,2008,0.230889039
55,2009,0.265497607
55,2010,0.371417023
55,2011,0.356685446
